Rank,Location,Population per square area,Population,Land area,Country,Territory,Latitude,Longitude
168,World (all land),54.0,8045311448.0,148940000.0,World,all land,11.249725,75.781517
169, Georgia,53.0,3728282.0,69700.0, Georgia,,32.648324554,-83.444534401
170, Morocco,53.0,37984655.0,710850.0, Morocco,,17.0705537,-96.7210884
171, Madagascar,52.0,30325732.0,587041.0, Madagascar,,17.5,-92.78333
172, Fiji,51.0,936376.0,18272.0, Fiji,,-17.75539,177.44338
173, South Africa,49.0,60414495.0,1221037.0, South Africa,,-28.997182288,25.08504994
174, Djibouti,49.0,1136455.0,23200.0, Djibouti,,11.733763645,42.58017759
175, Liberia,49.0,5418377.0,111369.0, Liberia,,6.447342577,-9.310386745
176, Turks and Caicos Islands (UK),49.0,46062.0,948.0, Turks and Caicos Islands,UK,21.75813263,-71.823117998
177, Easter Island,47.0,7750.0,163.6, Easter Island,,-27.11667,-109.36667
178, Belarus,46.0,9498238.0,207600.0, Belarus,,53.542208696,28.050095379
179, Colombia,46.0,52695952.0,1141748.0, Colombia,,20.4959616,-100.6565228
180, Montenegro,45.0,626485.0,13888.0, Montenegro,,20.7631216,-100.4295119
181, DR Congo,44.0,102262809.0,2345410.0, DR Congo,,18.53333,-91.25
182, Saint Helena Ascension and Tristan da Cunha (UK),43.0,5314.0,123.0, Saint Helena Ascension and Tristan da Cunha,UK,-15.96527133,-5.707392692
183, Cocos (Keeling) Islands (Australia),43.0,602.0,14.0, Cocos,Keeling) Islands (Australia,-12.0,96.83333
184, Zimbabwe,43.0,16665409.0,390757.0, Zimbabwe,,19.0676494,-98.1969597
185, Montserrat (UK),43.0,4387.0,103.0, Montserrat,UK,16.739171964,-62.189280121
186, Mozambique,42.0,33897354.0,799380.0, Mozambique,,19.0572529,-96.2532387
187, Lithuania,42.0,2718352.0,65286.0, Lithuania,,55.336936081,23.900396649
188, Palau,39.0,18058.0,459.0, Palau,,27.890124,-101.4228795
189, Faroe Islands (Denmark),38.0,53270.0,1393.0, Faroe Islands,Denmark,54.95155,11.99129
190, United States,35.0,339996564.0,9833517.0, United States,,21.332852,-157.884416
191, Kyrgyzstan,34.0,6735348.0,199949.0, Kyrgyzstan,,41.43197845,74.467594244
192, Laos,32.0,7633779.0,236800.0, Laos,,19.5242098,101.9712516
193, Venezuela,31.0,28838499.0,929690.0, Venezuela,,14.8140076,-92.3000393
194, Eritrea,31.0,3748902.0,121144.0, Eritrea,,38.393743,23.793099
195, Bahamas,30.0,412624.0,13940.0, Bahamas,,20.5294727,-100.4014546
196, Angola,29.0,36684203.0,1246700.0, Angola,,7.0785,81.2502
197, Somaliland,29.0,4914100.0,167283.0, Somaliland,,8.0,45.0
198, Estonia,29.0,1322766.0,45399.0, Estonia,,58.672040787,25.477224001
199, Somalia,28.0,18143379.0,637657.0, Somalia,,19.049439,-98.153406
200, Latvia,28.0,1862700.0,64594.0, Latvia,,56.85460987,24.926839006
201, Abkhazia,28.0,245424.0,8662.0, Abkhazia,,43.0005,41.00501
202, Vanuatu,27.0,334506.0,12189.0, Vanuatu,,-15.241355873,166.872757074
203, Zambia,27.0,20569738.0,752612.0, Zambia,,-14.468803663,28.767972881
204, Sudan,27.0,48109006.0,1765048.0, Sudan,,24.6408,97.9263
205, Peru,27.0,34352719.0,1285216.0, Peru,,19.434517,-99.183056
206, Chile,26.0,19629590.0,756102.0, Chile,,17.82251,-96.19567
207, Solomon Islands,26.0,740425.0,28896.0, Solomon Islands,,-9.622803768,160.160289649
208, Brazil,25.0,216422446.0,8510346.0, Brazil,,20.86805,-88.94507
209, Sweden,24.0,10612086.0,438574.0, Sweden,,41.802228,-77.870744
210, Saint Pierre and Miquelon (France),24.0,5840.0,242.0, Saint Pierre and Miquelon,France,46.856133163,-56.32283
211, Papua New Guinea,22.0,10329931.0,462840.0, Papua New Guinea,,-6.475589907,145.253800898
212, Niger,21.0,27202843.0,1267000.0, Niger,,19.096624,-98.220231
213, Bhutan,21.0,787425.0,38394.0, Bhutan,,27.414826827,90.426230985
214, Uruguay,20.0,3423109.0,173626.0, Uruguay,,16.33333,-93.42278
215, New Zealand,20.0,5228100.0,268107.0, New Zealand,,-42.287233564,172.3434325
216, Algeria,19.0,45606481.0,2381741.0, Algeria,,28.144113769,2.679965933
217, Åland (Finland),19.0,30237.0,1583.0, Åland,Finland,60.160188891,20.269731075
218, Mali,19.0,23293699.0,1240192.0, Mali,,19.10084566,100.80741097
219, Belize,18.0,410825.0,22965.0, Belize,,17.20905026,-88.694961553
220, Congo,18.0,6106869.0,342000.0, Congo,,19.3898806,-99.1735257
221, South Sudan,17.0,11088796.0,658841.0, South Sudan,,7.263460914,30.343765666
222, Saudi Arabia,17.0,36947025.0,2206714.0, Saudi Arabia,,24.121369529,44.54882706
223, Finland,16.0,5545475.0,336884.0, Finland,,64.522512801,26.158834376
224, Argentina,16.0,45773884.0,2796427.0, Argentina,,17.0016459,-92.907636
225, South Ossetia,16.0,57095.0,3632.0, South Ossetia,,42.33333,44.0
226, New Caledonia (France),15.0,292991.0,19100.0, New Caledonia,France,46.2053811,5.2271041
227, Paraguay,15.0,6109644.0,406752.0, Paraguay,,25.90287,-98.97288
228, Oman,15.0,4644384.0,309980.0, Oman,,-6.28708,176.32385
229, Chad,14.0,18278568.0,1284000.0, Chad,,45.83929,6.50216
230, Norway,14.0,5474360.0,385207.0, Norway,,44.2111692,-70.5347539
231, Turkmenistan,13.0,6516100.0,488100.0, Turkmenistan,,39.193358184,59.175252936
232, Christmas Island (Australia),12.0,1692.0,136.0, Christmas Island,Australia,-10.485355207,105.636472064
233, Bolivia,11.0,12388571.0,1098581.0, Bolivia,,15.37917,-92.48639
234, Central African Republic,9.0,5742316.0,622984.0, Central African Republic,,7.50856,16.74442
235, Gabon,9.0,2436567.0,267668.0, Gabon,,1.4441,11.51065
236, Russia,8.0,144444359.0,17098246.0, Russia,,61.7746481,34.3525426
237, Niue,7.0,1935.0,260.0, Niue,,34.366202,-85.050224
238, Kazakhstan,7.0,19606634.0,2724902.0, Kazakhstan,,53.2543708,69.369991
239, Mauritania,5.0,4862989.0,1030700.0, Mauritania,,20.259507352,-10.33148871
240, Botswana,5.0,2675353.0,582000.0, Botswana,,-22.187290211,23.814376269
241, Libya,4.0,6888388.0,1676198.0, Libya,,27.041821576,18.030819147
242, Canada,4.0,41012563.0,9984670.0, Canada,,15.4480288,-92.2272143
243, Suriname,4.0,623237.0,163820.0, Suriname,,19.0104857,-98.2256795
244, Guyana,4.0,813834.0,214969.0, Guyana,,4.79642268,-58.975386575
245, French Guiana (France),4.0,312155.0,83534.0, French Guiana,France,5.168305173,-52.6456095378
246, Iceland,4.0,375319.0,103000.0, Iceland,,24.8001649,-107.4145709
247, Australia,3.0,26439112.0,7692024.0, Australia,,25.3919099,-101.025732
248, Namibia,3.0,2604172.0,825229.0, Namibia,,-22.138976122,17.221498984
249, Western Sahara (disputed),2.0,587259.0,266000.0, Western Sahara,disputed,24.658502978,-13.139485877
250, Mongolia,2.0,3447157.0,1564116.0, Mongolia,,46.834691474,103.067633131
251, Pitcairn Islands (UK),0.9,40.0,47.0, Pitcairn Islands,UK,-24.376866517,-128.32274296
252, Falkland Islands (UK),0.3,3791.0,12173.0, Falkland Islands,UK,-51.74550645,-58.752109625
253, Greenland (Denmark),0.03,56643.0,2166086.0, Greenland,Denmark,55.70662,12.543714
