Rank,Location,Population per square area,Population,Land area,Territory,Country,Latitude,Longitude
90, Tonga,144.0,107773.0,747.0, Tonga,,-3.1489,119.9417
91, Ghana,143.0,34121985.0,238537.0, Ghana,,19.829677,85.670088
92, Thailand,140.0,71801279.0,513140.0, Thailand,,18.7760957357,100.773934968
93, Denmark,138.0,5910913.0,42947.0, Denmark,,22.7767209,75.8858655
94, Cyprus,136.0,1260138.0,9251.0, Cyprus,,18.7760957357,100.773934968
95, United Arab Emirates,134.0,9516871.0,71024.0, United Arab Emirates,,24.468311,54.3410189
96, Transnistria,134.0,468980.0,3510.0, Transnistria,,19.5242098,101.9712516
97, Czech Republic,133.0,10495295.0,78871.0, Czech Republic,,50.0893379,14.4310982
98, Jordan,127.0,11337053.0,89318.0, Jordan,,16.9555128,-91.7733403
99, Syria,125.0,23227014.0,185180.0, Syria,,48.430169,-123.416158
100, Sierra Leone,122.0,8791092.0,72300.0, Sierra Leone,,23.6664533,-100.6521223
101, Poland,120.0,37691000.0,313931.0, Poland,,52.1797027,21.0503399
102, Azerbaijan,120.0,10412652.0,86600.0, Azerbaijan,,19.5242098,101.9712516
103, Benin,119.0,13712828.0,114763.0, Benin,,-7.7475,109.60611
104, Slovakia,118.0,5795199.0,49035.0, Slovakia,,19.5242098,101.9712516
105, France (metropolitan),117.0,64756584.0,551500.0, France,metropolitan,45.765998,4.8335496
106, Ethiopia,115.0,126527060.0,1104300.0, Ethiopia,,20.4418713,-96.9764769
107, Northern Cyprus,114.0,382836.0,3355.0, Northern Cyprus,,35.29255,33.37192
108, Egypt,112.0,112716599.0,1002000.0, Egypt,,13.74479474,100.55366418
109, Portugal,111.0,10247605.0,92225.0, Portugal,,20.7282774,-101.9610351
110, Turkey,110.0,85816199.0,783562.0, Turkey,,38.8832,40.4936
111, Hungary,109.0,10156239.0,93025.0, Hungary,,25.92407,-100.65493
112, Northern Mariana Islands (US),109.0,49796.0,457.0, Northern Mariana Islands,US,15.18882477,145.753510487
113, Austria,107.0,8958961.0,83878.0, Austria,,16.29944,-93.43306
114, Iraq,105.0,45504560.0,435052.0, Iraq,,18.7760957357,100.773934968
115, Slovenia,105.0,2119675.0,20273.0, Slovenia,,19.5242098,101.9712516
116, Malaysia,104.0,34308525.0,330621.0, Malaysia,,2.8795,102.0173
117, Costa Rica,102.0,5212173.0,51100.0, Costa Rica,,24.5908019,-107.3835917
118, Cuba,102.0,11194449.0,109884.0, Cuba,,26.386886,-105.723485
119, Moldova,102.0,3435931.0,33847.0, Moldova,,32.498115,-116.986923
120, France (metropolitan & overseas),101.0,68000000.0,672000.0, France,metropolitan & overseas,45.765998,4.8335496
121, Albania,99.0,2832439.0,28748.0, Albania,,42.01167,20.41639
122, Dominica,97.0,73040.0,750.0, Dominica,,27.9359039,-101.226386
123, Spain,97.0,48797875.0,505994.0, Spain,,37.9938967,-1.1360161
124, Honduras,94.0,10593798.0,112492.0, Honduras,,15.5876044,-92.4742635
125, Cambodia,94.0,16944826.0,181039.0, Cambodia,,45.567165,-73.619408
126, Armenia,93.0,2777971.0,29743.0, Armenia,,16.17861,-97.08222
127, Kenya,93.0,55100587.0,591958.0, Kenya,,2.68877,36.58085
128, East Timor,91.0,1360596.0,14919.0, East Timor,,19.5242098,101.9712516
129, Senegal,90.0,17763163.0,196712.0, Senegal,,22.4030815279,-99.6064236027
130, Ivory Coast,90.0,28873034.0,322462.0, Ivory Coast,,19.5242098,101.9712516
131, Burkina Faso,86.0,23251485.0,270764.0, Burkina Faso,,19.5242098,101.9712516
132, French Polynesia (France),84.0,308872.0,3687.0, French Polynesia,France,43.0334,6.1475
133, Romania,83.0,19892812.0,238398.0, Romania,,30.7143986,-112.1349396
134, Caribbean Netherlands (Netherlands),83.0,27148.0,328.0, Caribbean Netherlands,Netherlands,52.249375293,5.616126398
135, North Macedonia,81.0,2085679.0,25713.0, North Macedonia,,16.9821896,-91.8416718
136, Wallis and Futuna (France),81.0,11502.0,142.0, Wallis and Futuna,France,46.3257742836,6.8956732031
137, Serbia,81.0,7149077.0,88444.0, Serbia,,18.7760957357,100.773934968
138, Myanmar,81.0,54577997.0,676577.0, Myanmar,,24.24684,95.56724
139, Samoa,79.0,225681.0,2842.0, Samoa,,3.2002,99.0605
140, Brunei,78.0,452524.0,5765.0, Brunei,,18.0655856234,-94.4079777445
141, Greece,78.0,10341277.0,131957.0, Greece,,39.1062376,26.5588553
142, Uzbekistan,78.0,35163944.0,448969.0, Uzbekistan,,19.5242098,101.9712516
143, Lesotho,77.0,2330318.0,30355.0, Lesotho,,19.5242098,101.9712516
144, Tunisia,76.0,12458223.0,163610.0, Tunisia,,19.5242098,101.9712516
145, Ireland,72.0,5056935.0,69825.0, Ireland,,19.5242098,101.9712516
146, Cook Islands,72.0,17044.0,236.0, Cook Islands,,42.0228794261,-88.1504530308
147, Tajikistan,72.0,10143543.0,141400.0, Tajikistan,,19.5242098,101.9712516
148, Tanzania,71.0,67438106.0,947303.0, Tanzania,,19.5242098,101.9712516
149, Croatia,71.0,4008617.0,56594.0, Croatia,,19.5242098,101.9712516
150, Ecuador,71.0,18190484.0,257215.0, Ecuador,,16.49139,-93.97611
151, Eswatini,70.0,1210822.0,17363.0, Eswatini,,19.5242098,101.9712516
152, Mexico,65.0,128455567.0,1964375.0, Mexico,,19.42847,-99.12766
153, Yemen,65.0,34449825.0,527968.0, Yemen,,29.50032,113.90076
154, Afghanistan,65.0,42239854.0,652864.0, Afghanistan,,19.5242098,101.9712516
155, Bosnia and Herzegovina,63.0,3210848.0,51209.0, Bosnia and Herzegovina,,43.8579711,18.4269103
156, Akrotiri and Dhekelia (UK),62.0,15700.0,254.0, Akrotiri and Dhekelia,UK,34.98431,33.73379
157, Equatorial Guinea,61.0,1714672.0,28051.0, Equatorial Guinea,,19.5242098,101.9712516
158, Ukraine,61.0,36744634.0,603500.0, Ukraine,,44.7681562,33.5412774
159, Bulgaria,61.0,6687717.0,110372.0, Bulgaria,,42.6973104,23.3191106
160, Cameroon,60.0,28647293.0,475650.0, Cameroon,,19.5242098,101.9712516
161,World (excluding Antarctica),60.0,8045311448.0,134740000.0,World,excluding Antarctica,-80.413253035,20.671190498
162, Guinea-Bissau,60.0,2150842.0,36125.0, Guinea-Bissau,,12.1763982,-13.6559749
163, Panama,59.0,4468087.0,75320.0, Panama,,25.729019,-103.0142659
164, Guinea,58.0,14190612.0,245836.0, Guinea,,21.03823,-105.25691
165, Norfolk Island (Australia),57.0,2220.0,39.0, Norfolk Island,Australia,-29.03711179,167.952381962
166, Iran,55.0,89172767.0,1630848.0, Iran,,27.40303,76.94988
167, Nicaragua,54.0,7046311.0,130373.0, Nicaragua,,27.5964573,-105.0148867
168,World (all land),54.0,8045311448.0,148940000.0,World,all land,39.932131,-77.649281
169, Georgia,53.0,3728282.0,69700.0, Georgia,,31.6410674,-86.7287519
170, Morocco,53.0,37984655.0,710850.0, Morocco,,17.0705537,-96.7210884
171, Madagascar,52.0,30325732.0,587041.0, Madagascar,,17.5,-92.78333
172, Fiji,51.0,936376.0,18272.0, Fiji,,-17.75539,177.44338
173, South Africa,49.0,60414495.0,1221037.0, South Africa,,20.1385375,-97.7674151
174, Djibouti,49.0,1136455.0,23200.0, Djibouti,,19.5242098,101.9712516
175, Liberia,49.0,5418377.0,111369.0, Liberia,,19.5242098,101.9712516
176, Turks and Caicos Islands (UK),49.0,46062.0,948.0, Turks and Caicos Islands,UK,21.75813263,-71.823117998
177, Easter Island,47.0,7750.0,163.6, Easter Island,,19.5242098,101.9712516
178, Belarus,46.0,9498238.0,207600.0, Belarus,,56.4706215,53.8053784
179, Colombia,46.0,52695952.0,1141748.0, Colombia,,20.4959616,-100.6565228
180, Montenegro,45.0,626485.0,13888.0, Montenegro,,20.7631216,-100.4295119
181, DR Congo,44.0,102262809.0,2345410.0, DR Congo,,19.3898806,-99.1735257
182, Saint Helena Ascension and Tristan da Cunha (UK),43.0,5314.0,123.0, Saint Helena Ascension and Tristan da Cunha,UK,-15.96527133,-5.707392692
183, Cocos (Keeling) Islands (Australia),43.0,602.0,14.0, Cocos,Keeling) Islands (Australia,-12.18419427,96.8284875
184, Zimbabwe,43.0,16665409.0,390757.0, Zimbabwe,,19.0676494,-98.1969597
185, Montserrat (UK),43.0,4387.0,103.0, Montserrat,UK,16.739171964,-62.189280121
186, Mozambique,42.0,33897354.0,799380.0, Mozambique,,19.0572529,-96.2532387
187, Lithuania,42.0,2718352.0,65286.0, Lithuania,,18.63717,100.56325
188, Palau,39.0,18058.0,459.0, Palau,,27.890124,-101.4228795
189, Faroe Islands (Denmark),38.0,53270.0,1393.0, Faroe Islands,Denmark,54.95155,11.99129
190, United States,35.0,339996564.0,9833517.0, United States,,21.332852,-157.884416
191, Kyrgyzstan,34.0,6735348.0,199949.0, Kyrgyzstan,,19.5242098,101.9712516
192, Laos,32.0,7633779.0,236800.0, Laos,,19.5242098,101.9712516
193, Venezuela,31.0,28838499.0,929690.0, Venezuela,,14.8140076,-92.3000393
194, Eritrea,31.0,3748902.0,121144.0, Eritrea,,19.5242098,101.9712516
195, Bahamas,30.0,412624.0,13940.0, Bahamas,,20.5294727,-100.4014546
196, Angola,29.0,36684203.0,1246700.0, Angola,,18.7760957357,100.773934968
197, Somaliland,29.0,4914100.0,167283.0, Somaliland,,19.5242098,101.9712516
198, Estonia,29.0,1322766.0,45399.0, Estonia,,59.6034599,16.4759229
199, Somalia,28.0,18143379.0,637657.0, Somalia,,19.049439,-98.153406
200, Latvia,28.0,1862700.0,64594.0, Latvia,,55.78651,49.124336
201, Abkhazia,28.0,245424.0,8662.0, Abkhazia,,41.7025518,44.7970538
202, Vanuatu,27.0,334506.0,12189.0, Vanuatu,,19.5242098,101.9712516
203, Zambia,27.0,20569738.0,752612.0, Zambia,,19.372569,-99.1547484
204, Sudan,27.0,48109006.0,1765048.0, Sudan,,-7.0875555,112.4996605
205, Peru,27.0,34352719.0,1285216.0, Peru,,15.44258,-92.9749
206, Chile,26.0,19629590.0,756102.0, Chile,,23.20471,-105.89339
207, Solomon Islands,26.0,740425.0,28896.0, Solomon Islands,,-47.220881089,167.435504234
208, Brazil,25.0,216422446.0,8510346.0, Brazil,,20.86805,-88.94507
209, Sweden,24.0,10612086.0,438574.0, Sweden,,20.5995815,-105.2372793
210, Saint Pierre and Miquelon (France),24.0,5840.0,242.0, Saint Pierre and Miquelon,France,43.29282,5.40682
211, Papua New Guinea,22.0,10329931.0,462840.0, Papua New Guinea,,-9.31099,146.99594
212, Niger,21.0,27202843.0,1267000.0, Niger,,19.096624,-98.220231
213, Bhutan,21.0,787425.0,38394.0, Bhutan,,32.24402,73.43145
214, Uruguay,20.0,3423109.0,173626.0, Uruguay,,16.33333,-93.42278
215, New Zealand,20.0,5228100.0,268107.0, New Zealand,,-40.0672307,175.3769176
216, Algeria,19.0,45606481.0,2381741.0, Algeria,,19.0448666,-98.0509777
217, Åland (Finland),19.0,30237.0,1583.0, Åland,Finland,60.160188891,20.269731075
218, Mali,19.0,23293699.0,1240192.0, Mali,,19.10084566,100.80741097
219, Belize,18.0,410825.0,22965.0, Belize,,19.03847,-98.186236
220, Congo,18.0,6106869.0,342000.0, Congo,,18.53333,-91.25
221, South Sudan,17.0,11088796.0,658841.0, South Sudan,,36.9993090585,-96.2778325353
222, Saudi Arabia,17.0,36947025.0,2206714.0, Saudi Arabia,,16.91722,-91.85417
223, Finland,16.0,5545475.0,336884.0, Finland,,19.5242098,101.9712516
224, Argentina,16.0,45773884.0,2796427.0, Argentina,,-34.6345378,-58.4060232
225, South Ossetia,16.0,57095.0,3632.0, South Ossetia,,19.5242098,101.9712516
226, New Caledonia (France),15.0,292991.0,19100.0, New Caledonia,France,45.39303,4.8063748
227, Paraguay,15.0,6109644.0,406752.0, Paraguay,,25.90287,-98.97288
228, Oman,15.0,4644384.0,309980.0, Oman,,37.39678,49.24639
229, Chad,14.0,18278568.0,1284000.0, Chad,,24.730896,86.636138
230, Norway,14.0,5474360.0,385207.0, Norway,,19.26448,-96.15784
231, Turkmenistan,13.0,6516100.0,488100.0, Turkmenistan,,19.5242098,101.9712516
232, Christmas Island (Australia),12.0,1692.0,136.0, Christmas Island,Australia,-10.485355207,105.636472064
233, Bolivia,11.0,12388571.0,1098581.0, Bolivia,,15.37917,-92.48639
234, Central African Republic,9.0,5742316.0,622984.0, Central African Republic,,7.50856,16.74442
235, Gabon,9.0,2436567.0,267668.0, Gabon,,1.4441,11.51065
236, Russia,8.0,144444359.0,17098246.0, Russia,,61.7746481,34.3525426
237, Niue,7.0,1935.0,260.0, Niue,,28.36278,112.29181
238, Kazakhstan,7.0,19606634.0,2724902.0, Kazakhstan,,53.2543708,69.369991
239, Mauritania,5.0,4862989.0,1030700.0, Mauritania,,19.5242098,101.9712516
240, Botswana,5.0,2675353.0,582000.0, Botswana,,19.5242098,101.9712516
241, Libya,4.0,6888388.0,1676198.0, Libya,,13.6953348,123.0619277
242, Canada,4.0,41012563.0,9984670.0, Canada,,15.4480288,-92.2272143
243, Suriname,4.0,623237.0,163820.0, Suriname,,19.0104857,-98.2256795
244, Guyana,4.0,813834.0,214969.0, Guyana,,21.9641118851,-102.2745836843
245, French Guiana (France),4.0,312155.0,83534.0, French Guiana,France,5.168305173,-52.6456095378
246, Iceland,4.0,375319.0,103000.0, Iceland,,24.8001649,-107.4145709
247, Australia,3.0,26439112.0,7692024.0, Australia,,-37.8815258,144.7675066
248, Namibia,3.0,2604172.0,825229.0, Namibia,,19.5242098,101.9712516
249, Western Sahara (disputed),2.0,587259.0,266000.0, Western Sahara,disputed,6.8823497472,79.8573494842
250, Mongolia,2.0,3447157.0,1564116.0, Mongolia,,19.5242098,101.9712516
251, Pitcairn Islands (UK),0.9,40.0,47.0, Pitcairn Islands,UK,-24.376866517,-128.32274296
252, Falkland Islands (UK),0.3,3791.0,12173.0, Falkland Islands,UK,-51.74550645,-58.752109625
253, Greenland (Denmark),0.03,56643.0,2166086.0, Greenland,Denmark,55.70662,12.543714
